tweet_id,text,created_at,lang,user_id_hashed,retweet_count,like_count,comment_count,is_reply,reply_to_id,is_retweet,is_quote,urls,hashtags,mentions,media,text_cleaned,text_length,word_count,urls_count,hashtags_count,mentions_count,media_count,date,hour,day_of_week,total_engagement
1511046314179526658,"Miss y’all, got some news this week 👻",2022-04-04 18:21:00,en,557066e0eabe336c,2,60,3,False,,False,False,[],[],[],[],"miss yall, got some news this week",34,7,0,0,0,0,2022-04-04,18,Monday,65
1510286182415958016,"ˢˡᵒʷᵉᵈ ⁺ ʳᵉᵛᵉʳᵇᵉᵈ

🔊 @DarksideDarci - Some Say (slowed + reverb)
🔗 piped.video/watch?v=vBld2tlO…",2022-04-02 16:01:00,en,557066e0eabe336c,0,5,0,False,,True,False,"[""https://piped.video/watch?v=vBld2tlOZok""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFPVnwEnXsAMLeGv.png%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",slowed reverbed - some say slowed reverb piped.videowatch?vvbld2tlo...,70,8,1,0,0,1,2022-04-02,16,Saturday,5
1505227851783708679,"ˢˡᵒʷᵉᵈ ⁺ ʳᵉᵛᵉʳᵇᵉᵈ

🔊 @DarksideDarci - These Nights (slowed + reverb)
🔗 piped.video/watch?v=9EYoKOOq…",2022-03-19 17:01:00,en,557066e0eabe336c,0,5,0,False,,True,False,"[""https://piped.video/watch?v=9EYoKOOqiKQ""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFOJKMcgWQAIb9Ob.png%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",slowed reverbed - these nights slowed reverb piped.videowatch?v9eyokooq...,74,8,1,0,0,1,2022-03-19,17,Saturday,5
1504141391366012931,"Think it’s time I jump back in, yeah?",2022-03-16 17:03:00,en,557066e0eabe336c,4,60,9,False,,False,False,[],[],[],[],"think its time i jump back in, yeah?",36,8,0,0,0,0,2022-03-16,17,Wednesday,73
1499067258131288064,"ˢˡᵒʷᵉᵈ ⁺ ʳᵉᵛᵉʳᵇᵉᵈ

🔊 @DarksideDarci - Won't (slowed + reverb)
🔗 piped.video/watch?v=GjPfgEct…",2022-03-02 17:01:00,en,557066e0eabe336c,0,5,0,False,,True,False,"[""https://piped.video/watch?v=GjPfgEctehI""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFM23AWpXEAQgwrS.png%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",slowed reverbed - won't slowed reverb piped.videowatch?vgjpfgect...,67,7,1,0,0,1,2022-03-02,17,Wednesday,5
1472990294282891265,"Been laying low & cooking up, let’s get it 2022 😈",2021-12-20 18:00:00,en,557066e0eabe336c,2,50,5,False,,False,False,[],[],[],[],"been laying low cooking up, lets get it 2022",44,9,0,0,0,0,2021-12-20,18,Monday,57
1472989910306938881,"Woah, thank y’all for a milli 🖤",2021-12-20 17:58:00,en,557066e0eabe336c,4,70,2,False,,False,False,[],[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFHEchBqVQAQRhCz.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]","woah, thank yall for a milli",28,6,0,0,0,1,2021-12-20,17,Monday,76
1461720156091027456,"Woah, these tings go up & down but this is the most we’ve ever had, thank u 🖤",2021-11-19 15:36:00,en,557066e0eabe336c,1,61,3,False,,False,False,[],[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFEkSu80UUAIWuC8.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]","woah, these tings go up down but this is the most weve ever had, thank u",72,16,0,0,0,1,2021-11-19,15,Friday,65
1454883478013575170,Happy Halloween 🖤🎃🦇,2021-10-31 18:50:00,nl,557066e0eabe336c,2,37,1,False,,False,False,[],[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFDDIz9cVUAMeboZ.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",happy halloween,15,2,0,0,0,1,2021-10-31,18,Sunday,40
1454251638483402760,playlist at PF. Chang’s slaps,2021-10-30 00:59:00,tl,557066e0eabe336c,1,10,0,False,,False,False,[],[],[],[],playlist at pf. changs slaps,28,5,0,0,0,0,2021-10-30,0,Saturday,11
1450522383513620482,"ˢˡᵒʷᵉᵈ ⁺ ʳᵉᵛᵉʳᵇᵉᵈ

🔊 @DarksideDarci - Twilight (slowed + reverb + lyrics)
🔗 piped.video/watch?v=HJyxQbAL…",2021-10-19 18:01:00,en,557066e0eabe336c,0,5,0,False,,True,False,"[""https://piped.video/watch?v=HJyxQbALTN4""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFCAjrBfX0AM_AaE.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",slowed reverbed - twilight slowed reverb lyrics piped.videowatch?vhjyxqbal...,77,8,1,0,0,1,2021-10-19,18,Tuesday,5
1450492184591929351,"lock eyes in the twilight.

🔊 @DarksideDarci - Twilight (Lyrics)
🔗 piped.video/watch?v=Jvnc2a_c…",2021-10-19 16:01:00,en,557066e0eabe336c,0,11,0,False,,True,False,"[""https://piped.video/watch?v=Jvnc2a_cS0o""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFCAjiAeXEAY5WaR.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",lock eyes in the twilight. - twilight lyrics piped.videowatch?vjvnc2ac...,73,9,1,0,0,1,2021-10-19,16,Tuesday,11
1448705530130620418,"Celebrating the EP w/ a merch sale 🩸everything in the store is 10% off w/ code “longdaysaway” Oh & these new hoodies glow in the dark, big spooky szn s/o my model @LizziBlakeCams ❤️ darcistore.shop",2021-10-14 17:41:00,en,557066e0eabe336c,4,52,1,False,,False,False,"[""https://www.darcistore.shop/""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFBrV__EUcAMwFTA.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]","celebrating the ep w a merch sale everything in the store is 10 off w code longdaysaway oh these new hoodies glow in the dark, big spooky szn so my model darcistore.shop",169,32,1,0,0,1,2021-10-14,17,Thursday,57
1448704514417053703,"Love for the EP has been crazy, y’all are the best 🖤over 100k on ‘Cold’ in under a week 🥲 s/o homie @cademusic",2021-10-14 17:37:00,en,557066e0eabe336c,1,22,0,False,,False,False,[],[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFBrVE9ZVIAAu9Ir.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]","love for the ep has been crazy, yall are the best over 100k on cold in under a week so homie",92,21,0,0,0,1,2021-10-14,17,Thursday,23
1448689524566073345,"🚨 #NewMusicAlert 🚨

Rising independent artist Darci talks musical influences, individuality and his highly anticipated debut EP ‘Long Days Away’ 

@DarksideDarci #LongDaysAway #DebutEP

nijimagazine.com/2021/10/ris… via @NijiMagazine #NewMusic",2021-10-14 16:37:00,en,557066e0eabe336c,0,15,0,False,,True,False,"[""https://nijimagazine.com/2021/10/rising-independent-artist-darci-talks-musical-influences-individuality-and-his-highly-anticipated-debut-ep-long-days-away/""]","[""#NewMusicAlert"", ""#LongDaysAway"", ""#DebutEP"", ""#NewMusic""]",[],[],"newmusicalert rising independent artist darci talks musical influences, individuality and his highly anticipated debut ep long days away longdaysaway debutep nijimagazine.com202110ris... via newmusic",199,23,1,4,0,0,2021-10-14,16,Thursday,15
1446891356178116613,Thank u spotty 🖤,2021-10-09 17:32:00,en,557066e0eabe336c,1,19,1,False,,False,False,[],[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFBRkBQJUcAAqMHp.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",thank u spotty,14,3,0,0,0,1,2021-10-09,17,Saturday,21
1446678838130454535,new venom movie gooo 👏 🍿,2021-10-09 03:28:00,sk,557066e0eabe336c,1,25,2,False,,False,False,[],[],[],[],new venom movie gooo,20,4,0,0,0,0,2021-10-09,3,Saturday,28
1446534373793144839,"‘Long Days Away’ EP out now🖤 lmk ur fav track ‡ s/o @rance_riley who prod/mixed the whole project, @WhoisBeam & @cademusic for coming thru, my gf @LizziBlakeCams for putting up w/ me thru the process❤️& everyone else who contributed ‡ lets run it up👻 ffm.to/longdaysaway",2021-10-08 17:54:00,en,557066e0eabe336c,13,68,6,False,,False,False,"[""https://ffm.to/longdaysaway""]",[],[],[],"long days away ep out now lmk ur fav track so who prodmixed the whole project, for coming thru, my gf for putting up w me thru the process everyone else who contributed lets run it up ffm.tolongdaysaway",202,38,1,0,0,0,2021-10-08,17,Friday,87
1446172578335367175,"Win $500 plus Apple AirPods and more from @DarksideDarci 
Enter Here: tnspk.co/vt46cw",2021-10-07 17:56:00,en,557066e0eabe336c,0,15,0,False,,True,False,"[""http://tnspk.co/vt46cw""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FFBHWS5WXsAAnlQ6.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",win 500 plus apple airpods and more from enter here tnspk.covt46cw,66,11,1,0,0,1,2021-10-07,17,Thursday,15
1446167571229646866,"'Wild Horse’ is up early on SC/YT 🖤something a lil different 🐴 whole EP drops tonite 12am est / 9PM pacific ! !

SC:soundcloud.com/darksidedarci…

YT: piped.video/e0_V8IoYSLU",2021-10-07 17:36:00,en,557066e0eabe336c,9,40,4,False,,False,False,"[""https://soundcloud.com/darksidedarci/darci-wild-horse?si=47f22641205e4bc1985980ceb92c37d5"", ""https://piped.video/e0_V8IoYSLU""]",[],[],[],'wild horse is up early on scyt something a lil different whole ep drops tonite 12am est 9pm pacific ! ! scsoundcloud.comdarksidedarci... yt piped.videoe0v8ioyslu,162,24,2,0,0,0,2021-10-07,17,Thursday,53
1445436337226612739,"oh & we’re doing round 3 of this contest (prizes - $500, custom Airpods, merch & more) u can enter here🖤 tnspk.co/vt46cw",2021-10-05 17:10:00,en,557066e0eabe336c,2,17,2,False,,False,False,"[""http://tnspk.co/vt46cw""]",[],[],[],"oh were doing round 3 of this contest prizes - 500, custom airpods, merch more u can enter here tnspk.covt46cw",110,20,1,0,0,0,2021-10-05,17,Tuesday,21
1445435296586207232,"hit that pre-save, really does help ur boy out 🖤 ffm.to/longdaysaway",2021-10-05 17:06:00,en,557066e0eabe336c,3,14,1,False,,False,False,"[""https://ffm.to/longdaysaway""]",[],[],[],"hit that pre-save, really does help ur boy out ffm.tolongdaysaway",65,10,1,0,0,0,2021-10-05,17,Tuesday,18
1445434709308162049,EP Friday! ! who ready? 👻,2021-10-05 17:04:00,en,557066e0eabe336c,7,42,9,False,,False,False,[],[],[],[],ep friday! ! who ready?,23,5,0,0,0,0,2021-10-05,17,Tuesday,58
1443421264454946816,If u missed it they doing a re-run right after 🖤,2021-09-30 03:43:00,en,557066e0eabe336c,1,6,0,False,,False,True,[],[],[],[],if u missed it they doing a re-run right after,46,10,0,0,0,0,2021-09-30,3,Thursday,7
1443412348622938116,live stream starting now I’ll be on in 5 or so 👻 twitch.tv/austinmillz,2021-09-30 03:08:00,en,557066e0eabe336c,1,9,2,False,,False,False,"[""https://www.twitch.tv/austinmillz""]",[],[],[],live stream starting now ill be on in 5 or so twitch.tvaustinmillz,66,12,1,0,0,0,2021-09-30,3,Thursday,12
1443333824373563395,Pulling up on twitch tonite (8pm-10pm pdt) w/ @AUSTINMILLZ & homies playing some new songs from the EP 👻 come say hi 🖤 twitch.tv/austinmillz,2021-09-29 21:56:00,en,557066e0eabe336c,4,16,0,False,,False,False,"[""https://www.twitch.tv/austinmillz""]",[],[],[],pulling up on twitch tonite 8pm-10pm pdt w homies playing some new songs from the ep come say hi twitch.tvaustinmillz,117,20,1,0,0,0,2021-09-29,21,Wednesday,20
1440730911922790410,snippet? 👻 ffm.to/longdaysaway,2021-09-22 17:33:00,tl,557066e0eabe336c,6,33,8,False,,False,False,"[""https://ffm.to/longdaysaway""]",[],[],[],snippet? ffm.tolongdaysaway,27,2,1,0,0,0,2021-09-22,17,Wednesday,47
1440730692267110400,LDA EP oct 8th 🖤 ffm.to/longdaysaway,2021-09-22 17:32:00,en,557066e0eabe336c,4,21,0,False,,False,False,"[""https://ffm.to/longdaysaway""]",[],[],[],lda ep oct 8th ffm.tolongdaysaway,33,5,1,0,0,0,2021-09-22,17,Wednesday,25
1440730267954528265,"fav time of year fr, so ready for the szn 👻🎃",2021-09-22 17:30:00,en,557066e0eabe336c,2,32,2,False,,False,False,[],[],[],[],"fav time of year fr, so ready for the szn",41,10,0,0,0,0,2021-09-22,17,Wednesday,36
1439465023525490689,"in case you missed it last night:

🔊 @DarksideDarci - Come Around (slowed + reverb)
🔗 piped.video/watch?v=D6ekx_32…",2021-09-19 05:43:00,en,557066e0eabe336c,0,8,0,False,,True,False,"[""https://piped.video/watch?v=D6ekx_32Ll0""]",[],[],[],in case you missed it last night - come around slowed reverb piped.videowatch?vd6ekx32...,89,13,1,0,0,0,2021-09-19,5,Sunday,8
1438187305919922182,"‘Long Days Away’ EP Oct. 8th, u can pre-save now 🖤 ffm.to/longdaysaway",2021-09-15 17:05:00,en,557066e0eabe336c,6,44,1,False,,False,False,"[""https://ffm.to/longdaysaway""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FE_V3uxiVQAIvNoI.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]","long days away ep oct. 8th, u can pre-save now ffm.tolongdaysaway",65,11,1,0,0,1,2021-09-15,17,Wednesday,51
1436003137731448838,snippet? 🌚,2021-09-09 16:26:00,no,557066e0eabe336c,7,76,8,False,,False,False,[],[],[],[],snippet?,8,1,0,0,0,0,2021-09-09,16,Thursday,91
1436002872097869825,"oh hey, got some news for y’all nxt week 👻",2021-09-09 16:25:00,en,557066e0eabe336c,1,28,2,False,,False,False,[],[],[],[],"oh hey, got some news for yall nxt week",39,9,0,0,0,0,2021-09-09,16,Thursday,31
1435689537338937349,"gonna be on @travismills @AppleMusic show later today, 4pm pst, come thru 🖤 apple.co/Travis",2021-09-08 19:40:00,en,557066e0eabe336c,1,10,0,False,,False,False,"[""https://apple.co/Travis""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FE-yYBlcUUAAAQOV.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]","gonna be on show later today, 4pm pst, come thru apple.cotravis",63,11,1,0,0,1,2021-09-08,19,Wednesday,11
1433167024406945794,"ˢˡᵒʷᵉᵈ ⁺ ʳᵉᵛᵉʳᵇᵉᵈ

🔊 @DarksideDarci - On My Own (slowed + reverb)
🔗 piped.video/watch?v=2yvfVwk7…",2021-09-01 20:37:00,en,557066e0eabe336c,0,9,0,False,,True,False,"[""https://piped.video/watch?v=2yvfVwk7WPc""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FE-MvZONXIA0-PL8.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",slowed reverbed - on my own slowed reverb piped.videowatch?v2yvfvwk7...,71,9,1,0,0,1,2021-09-01,20,Wednesday,9
1428049820665614339,back soon 🖤,2021-08-18 17:43:00,en,557066e0eabe336c,2,30,1,False,,False,False,[],[],[],[],back soon,9,2,0,0,0,0,2021-08-18,17,Wednesday,33
1417935469300490240,finna upload more remixes & ideas on @AudiusProject . Stuff I can’t put on Spotify etc. sooo check it out & follow my profile on there if u bout that 👻 audius.co/darksidedarci,2021-07-21 19:52:00,en,557066e0eabe336c,1,12,0,False,,False,False,"[""https://audius.co/darksidedarci""]",[],[],[],finna upload more remixes ideas on . stuff i cant put on spotify etc. sooo check it out follow my profile on there if u bout that audius.codarksidedarci,152,28,1,0,0,0,2021-07-21,19,Wednesday,13
1417934630833979395,thank y’all for the love on ‘Burn’🔥 more EP news vv soon 🖤 oh & new merch in case y’all missed last week darcistore.shop/ 👻 which one’s your fav?,2021-07-21 19:48:00,en,557066e0eabe336c,2,10,0,False,,False,False,"[""https://www.darcistore.shop/""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FE62EB1RVUAALw_6.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",thank yall for the love on burn more ep news vv soon oh new merch in case yall missed last week darcistore.shop which ones your fav?,132,26,1,0,0,1,2021-07-21,19,Wednesday,12
1417924107287482369,"Welcome @DarksideDarci✨

Darci’s burning it down with his latest single featuring @WhoisBeam!🔥 

audius.co/darksidedarci/burn…",2021-07-21 19:07:00,en,557066e0eabe336c,0,47,3,False,,True,False,"[""https://audius.co/darksidedarci/burn-ft.-beam-463459""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FE616dJ1VgAE5BSn.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",welcome darcis burning it down with his latest single featuring ! audius.codarksidedarciburn...,95,12,1,0,0,1,2021-07-21,19,Wednesday,50
1417533151786721282,"Darci & BEAM releases a melodic rap tune, entitled, “Burn” bongminesentertainment.com/d… via #bongminesent | @DarksideDarci | @WhoisBeam",2021-07-20 17:13:00,en,557066e0eabe336c,0,7,0,False,,True,False,"[""https://www.bongminesentertainment.com/darci-beam-burn/""]","[""#bongminesent""]",[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FE6wWuTMWUAIoIOf.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]","darci beam releases a melodic rap tune, entitled, burn bongminesentertainment.comd... via bongminesent",102,12,1,1,0,1,2021-07-20,17,Tuesday,7
1416083256995323905,‘Burn’ lyric vid 🔥: piped.video/--gwqGNe1Rs,2021-07-16 17:12:00,en,557066e0eabe336c,3,9,0,False,,False,False,"[""https://piped.video/--gwqGNe1Rs""]",[],[],[],burn lyric vid piped.video--gwqgne1rs,37,4,1,0,0,0,2021-07-16,17,Friday,12
1416082957056430081,in case u missed last nite 🖤,2021-07-16 17:11:00,en,557066e0eabe336c,1,10,1,False,,False,True,[],[],[],[],in case u missed last nite,26,6,0,0,0,0,2021-07-16,17,Friday,12
1415890914396966918,‘Burn’ ft. @WhoisBeam prod. by @rance_riley out now everywhere 🔥🖤 ffm.to/burndarci,2021-07-16 04:27:00,en,557066e0eabe336c,0,52,1,False,,True,False,"[""https://ffm.to/burndarci""]",[],[],[],burn ft. prod. by out now everywhere ffm.toburndarci,52,8,1,0,0,0,2021-07-16,4,Friday,53
1415721330842894338,y’all did it 🖤 ‘Burn’ ft. @WhoisBeam is up early on SC/YT ‡ everywhere else tonite 12am est / 9PM pacific 🔥 soundcloud.com/darksidedarci…,2021-07-15 17:14:00,en,557066e0eabe336c,3,15,0,False,,False,False,"[""https://soundcloud.com/darksidedarci/darci-burn-ft-beam-1""]",[],[],[],yall did it burn ft. is up early on scyt everywhere else tonite 12am est 9pm pacific soundcloud.comdarksidedarci...,115,18,1,0,0,0,2021-07-15,17,Thursday,18
1415702949456596992,"remember parts but it’s broken. it’s part of a broken heart.

🔊 @DarksideDarci - Burn (ft. @whoisbeam )(Lyrics)
🔗 piped.video/watch?v=fDAnfK3q…",2021-07-15 16:01:00,en,557066e0eabe336c,0,8,0,False,,True,False,"[""https://piped.video/watch?v=fDAnfK3qjvA""]",[],[],[],remember parts but its broken. its part of a broken heart. - burn ft. lyrics piped.videowatch?vfdanfk3q...,106,16,1,0,0,0,2021-07-15,16,Thursday,8
1415414058476572672,"Win $500 plus Apple AirPods and more from @DarksideDarci!!
Enter Here: tnspk.co/jce9tq",2021-07-14 20:53:00,en,557066e0eabe336c,0,8,1,False,,True,False,"[""http://tnspk.co/jce9tq""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FE6SPlXqXMAQVTi3.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",win 500 plus apple airpods and more from !! enter here tnspk.cojce9tq,69,12,1,0,0,1,2021-07-14,20,Wednesday,9
1414992118968242176,"doing round 2 of the EP contest cuz why not? giving away custom AirPods, this crazy galaxy lighting system, & $500 cash 👻 u can enter here, & all u have to do is support the music 🖤 tnspk.co/jce9tq",2021-07-13 16:56:00,en,557066e0eabe336c,2,10,0,False,,False,False,"[""http://tnspk.co/jce9tq""]",[],[],[],"doing round 2 of the ep contest cuz why not? giving away custom airpods, this crazy galaxy lighting system, 500 cash u can enter here, all u have to do is support the music tnspk.cojce9tq",187,35,1,0,0,0,2021-07-13,16,Tuesday,12
1414991014012485634,thinking bout dropping ‘Burn’ early 🌚,2021-07-13 16:52:00,en,557066e0eabe336c,2,51,10,False,,False,False,[],[],[],[],thinking bout dropping burn early,33,5,0,0,0,0,2021-07-13,16,Tuesday,63
