tweet_id,text,created_at,lang,user_id_hashed,retweet_count,like_count,comment_count,is_reply,reply_to_id,is_retweet,is_quote,urls,hashtags,mentions,media,text_cleaned,text_length,word_count,urls_count,hashtags_count,mentions_count,media_count,date,hour,day_of_week,total_engagement,neg_score,neu_score,pos_score,compound_score,sentiment,sentiment_strength
1716933828617576725,"Wifey @LizziBlakeCams made a lil tour vlog, everyone on the team works very hard and I’m proud of all of us! Thanks to all who came through, Means the world 🖤 cheers",2023-10-24 21:44:00,en,557066e0eabe336c,1,27,1,False,,False,False,[],[],[],[],"wifey made a lil tour vlog, everyone on the team works very hard and im proud of all of us! thanks to all who came through, means the world cheers",146,30,0,0,0,0,2023-10-24,21,Tuesday,29,0.047,0.693,0.26,0.8271,positive,strong
1716913836220088744,Did some vocals for my guy @mersivsound 🌀love me a side quest 🖤 his album is fire - fanlink.to/Darcimersiv,2023-10-24 20:25:00,en,557066e0eabe336c,1,15,0,False,,False,False,"[""https://fanlink.to/Darcimersiv""]",[],[],[],did some vocals for my guy love me a side quest his album is fire - fanlink.todarcimersiv,89,17,1,0,0,0,2023-10-24,20,Tuesday,16,0.122,0.663,0.214,0.4215,positive,moderate
1715078107416392165,"POPSCENE SHOW TONIGHT 🚨

SF headlining debut of Canadian artist....

DARCI 🇨🇦🔥
8pm doors
@BrickMortarSF 

@DarksideDarci 

GET TIX HERE OR AT THE DOOR 🎟️⬇️

eventbrite.com/e/67554228415…",2023-10-19 18:51:00,en,557066e0eabe336c,0,10,0,False,,True,False,"[""https://www.eventbrite.com/e/675542284157?aff=oddtdtcreator""]",[],[],[],popscene show tonight sf headlining debut of canadian artist.... darci 8pm doors get tix here or at the door eventbrite.come67554228415...,138,20,1,0,0,0,2023-10-19,18,Thursday,10,0.0,1.0,0.0,0.0,neutral,neutral
1713983241705931214,"POPSCENE TICKET GIVEAWAY 🎟️🚨

First 5 reposts score a pair of tickets for this show on Thursday:

DARCI 🇨🇦
Thursday, 10/19
@BrickMortarSF 
8pm/all ages

@DarksideDarci 

Advance tix here! 🎟️⬇️

eventbrite.com/e/67554228415…",2023-10-16 18:20:00,en,557066e0eabe336c,0,6,0,False,,True,False,"[""https://www.eventbrite.com/e/675542284157?aff=oddtdtcreator""]",[],[],[],"popscene ticket giveaway first 5 reposts score a pair of tickets for this show on thursday darci thursday, 1019 8pmall ages advance tix here! eventbrite.come67554228415...",171,25,1,0,0,0,2023-10-16,18,Monday,6,0.0,1.0,0.0,0.0,neutral,neutral
1712500876223680733,"💔 TONIGHT // 10.12 // @DarksideDarci in Purgatory // 7 PM Doors

🎫: bit.ly/darci-10-12",2023-10-12 16:10:00,en,557066e0eabe336c,0,9,1,False,,True,False,"[""http://bit.ly/darci-10-12""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FF8QFg0hW8AAraZ3.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",tonight 10.12 in purgatory 7 pm doors bit.lydarci-10-12,55,8,1,0,0,1,2023-10-12,16,Thursday,10,0.0,1.0,0.0,0.0,neutral,neutral
1710056016086233112,"🩸 ONE WEEK AWAY // 10.12 // @DarksideDarci in Purgatory

🎫: bit.ly/darci-10-12",2023-10-05 22:15:00,en,557066e0eabe336c,0,5,0,False,,True,False,"[""http://bit.ly/darci-10-12""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FF7sW4mTXsAAX9cz.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",one week away 10.12 in purgatory bit.lydarci-10-12,50,7,1,0,0,1,2023-10-05,22,Thursday,5,0.0,1.0,0.0,0.0,neutral,neutral
1707465035772264771,So stoked to announce support for the tour!! Homies @cademusic and @ero808 will be joining me on select dates as well as @kollapsemusic in ATL! See y’all soon🖤 darcimusic.com/,2023-09-28 18:39:00,en,557066e0eabe336c,2,31,3,False,,False,False,"[""https://www.darcimusic.com/""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FF7IiP_8akAAscPD.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",so stoked to announce support for the tour!! homies and will be joining me on select dates as well as in atl! see yall soon darcimusic.com,138,26,1,0,0,1,2023-09-28,18,Thursday,36,0.0,0.809,0.191,0.6884,positive,strong
1694788503148884427,"Sold out Denver tn!! @LarimerLounge 

Set times: 
7:00PM - Doors
8:00PM  - Less Face
9:00PM @shockfacejosh 
10:00PM - Darci",2023-08-24 19:07:00,en,557066e0eabe336c,2,20,0,False,,False,False,[],[],[],[],sold out denver tn!! set times 700pm - doors 800pm - less face 900pm 1000pm - darci,83,17,0,0,0,0,2023-08-24,19,Thursday,22,0.0,1.0,0.0,0.0,neutral,neutral
1691515179555778564,Here we go! My album ‘Escape Cycle’ drops next week!! Stoked for y’all to hear the new music 🖤pre-save: stem.ffm.to/escapecycle,2023-08-15 18:20:00,en,557066e0eabe336c,15,69,4,False,,False,False,"[""https://stem.ffm.to/escapecycle""]",[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FF3l4FrPacAEKYxC.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",here we go! my album escape cycle drops next week!! stoked for yall to hear the new music pre-save stem.ffm.toescapecycle,121,20,1,0,0,1,2023-08-15,18,Tuesday,88,0.0,0.881,0.119,0.3769,positive,moderate
1687478618539134977,"ON SALE NOW: @darksidedarci in Bronze Peacock on Saturday, October 14!

🎫 : livemu.sc/3qgdkGL",2023-08-04 15:00:00,en,557066e0eabe336c,0,6,0,False,,True,False,"[""https://livemu.sc/3qgdkGL""]",[],[],[],"on sale now in bronze peacock on saturday, october 14! livemu.sc3qgdkgl",71,11,1,0,0,0,2023-08-04,15,Friday,6,0.0,1.0,0.0,0.0,neutral,neutral
